Volcano Number,Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
261821,Pesagi,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,-4.9233,104.1462,2201,,Unknown
261822,Sukadana Basalts,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Cluster,Fissure vent,,,-5.25,105.65,300,,Subduction zone / Continental crust (>25 km)
261823,"Simacak, Uruk",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,3.237,98.433,1908,,
261824,Barus,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,3.204,98.564,1969,,
261858,Seulawah Inong,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,5.43,95.77,730,,Unknown
261859,Melintang,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-0.32,100.67,2262,,Subduction zone / Continental crust (>25 km)
261861,Tujuh,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-1.7,101.42,2732,,Subduction zone / Continental crust (>25 km)
261862,Runcing,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,-1.755,101.627,1789,,Subduction zone / Continental crust (>25 km)
261863,Isau-Isau,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,-3.967,103.643,1422,,Subduction zone / Continental crust (>25 km)
261864,"Nanti, Bukit",Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Unknown,Unknown,,,-4.2,103.85,1619,,Unknown
261865,Tanggamus,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-5.427,104.675,2079,,Unknown
263080,Wayang-Windu,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Minor,Lava dome,,,-7.213,107.637,2184,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
263081,Malabar,Indonesia,Sunda-Banda Volcanic Regions,Sunda Volcanic Arc,Composite,Stratovolcano,,,-7.132,107.639,2307,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
